,time_micros,accel_x,accel_y,accel_z,velocity_x,velocity_y,velocity_z,distance_x,distance_y,distance_z,distance_total
0,17408024,0.0077793300151824,-0.062833048403263,10.116719245910645,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,17409223,0.007797750590855876,-0.06283817818449176,10.116715515156438,9.349502958436196e-06,-7.534297564320563e-05,0.012129941902672569,1.1210054047164998e-08,-9.033622779620354e-08,1.4543800341304409e-05,1.4544085212452878e-05
2,17410389,0.007960626481589139,-0.06288205435865167,10.116684022164712,1.8631593435969132e-05,-0.00014866345102539346,0.02392599547251662,3.2934491993505005e-08,-2.636778116918123e-07,4.244151106225879e-05,4.244234291267362e-05
3,17411577,0.008656980402388994,-0.06306181791647836,10.116559128838139,2.8916086154007257e-05,-0.00022358089071016976,0.03594446771757633,6.728680234446562e-08,-5.29291909855494e-07,8.514353871073948e-05,8.51452104444331e-05
4,17412747,0.01060886451855684,-0.06354707844953365,10.116245600979159,4.132845764071876e-05,-0.0002979309724961241,0.047780475070721945,1.1564109778410658e-07,-8.778711476759592e-07,0.00014104669454348414,0.00014104947384608826
5,17413928,0.01472108427139632,-0.06455409599413954,10.115676874215769,5.871405816523781e-05,-0.0003741693598652029,0.05972708945917077,1.8498240047725243e-07,-1.3197651616767639e-06,0.00021158438719476482,0.0002115885840567837
6,17415105,0.021791727722252754,-0.06631518440598809,10.114861602085684,8.43629216943293e-05,-0.0004522223319110509,0.07163228156482562,2.8427755931147804e-07,-1.8520308463360708e-06,0.0002958955825965646,0.00029590151508930617
7,17416296,0.03227209614882647,-0.06903883254142164,10.113857718271642,0.00012279898820758163,-0.0005344475814678841,0.08367788610728714,4.305311542667078e-07,-2.488557915864321e-06,0.0003955559449503436,0.00039556400728976167
8,17417471,0.046171050940252686,-0.07284261494251354,10.1127017979047,0.00017704997306237854,-0.0006200376540253375,0.09556031071982517,6.385648726150026e-07,-3.2171021593440927e-06,0.0005078393100461381,0.0005078499013877405
9,17418682,0.06307163266781261,-0.07768661526633396,10.111371487785965,0.0002534297202230996,-0.0007141161451128679,0.10780518159153397,9.454682638051762e-07,-4.081896811075776e-06,0.0006383913849534857,0.0006384051348279114
10,17419844,0.08218557713295407,-0.08333770434015898,10.109823435105602,0.0003489293608515922,-0.0008109545575561327,0.11955279642312669,1.3509241811147264e-06,-5.024226006956002e-06,0.0007773117343971589,0.0007773291453912115
11,17421028,0.10244587727772803,-0.08938168997106033,10.108101420676494,0.0004702252795484222,-0.0009167824784818682,0.13152078850520765,1.907670912100058e-06,-6.109696461478534e-06,0.0009330323479873248,0.0009330543017369893
12,17422201,0.12266584765050682,-0.09530398056938164,10.106425464998342,0.0006141123188424667,-0.0010285740476897527,0.1433756255756507,2.6280246621022716e-06,-7.316213819418614e-06,0.0011012119567875632,0.001101239395985346
13,17423390,0.14169122192033243,-0.1005981336547353,10.105122725761392,0.000782583181705742,-0.001148185228605233,0.155390616496581,3.558516065150399e-06,-8.681406056230236e-06,0.001285971399801998,0.0012860056263315528
14,17424567,0.15848374571787435,-0.10482503952398431,10.104413312454303,0.0009691185504156802,-0.0012715643001249624,0.16728351096533972,4.699168598989654e-06,-1.0178037237477316e-05,0.0014828640922082028,0.0014829064672419454
15,17425756,0.17218965733345207,-0.10764009761545029,10.104241866952917,0.0011738520529851546,-0.0013995483761897328,0.17929745454514673,6.094878689989003e-06,-1.1842100256766908e-05,0.0016960487656623824,0.0016961010578351832
16,17426892,0.18223143963171468,-0.10885133392423525,10.10429794882899,0.0013808669684067826,-0.0015232034915276642,0.19077593701501647,7.663543566099108e-06,-1.3572459423142335e-05,0.001912770230111441,0.0019128337342161647
17,17428089,0.18839469185879673,-0.10847831810113703,10.104201513460508,0.0016063754145617623,-0.0016530520382947252,0.2028706662266287,9.586374937329538e-06,-1.555116271298112e-05,0.0021556064175847155,0.002155683827646943
18,17429277,0.19086391027088184,-0.10674318331848962,10.103714229823057,0.0018331217399635699,-0.001779862940077091,0.21487387873165847,1.176412356440626e-05,-1.7665639885792703e-05,0.002410876585517926,0.002410970008115901
19,17430464,0.19016685353464816,-0.10399883616926582,10.102824779276183,0.002058849795109197,-0.0019033095586100095,0.2268659317446593,1.4207978271200876e-05,-1.9924868331862784e-05,0.0026801664464988365,0.0026802781661541767
20,17431623,0.18704465119314265,-0.10064229962243257,10.101682918752465,0.0022756345458420494,-0.002019953983872409,0.2385737822474934,1.684543870983181e-05,-2.2265994999170907e-05,0.0029566734601236813,0.0029568052849550932
21,17432806,0.18230840870421786,-0.09705467147455721,10.100496717662754,0.002491305393339139,-0.00213476966022681,0.25052266986448846,1.979265299015201e-05,-2.4791427507219224e-05,0.003253041778573371,0.0032531964553549537
22,17433954,0.1767236040343428,-0.0935932215811702,10.099466813541543,0.0026941840907705648,-0.0022422146786019934,0.2621168577664341,2.288557632635662e-05,-2.7365489958254313e-05,0.003553951931289237,0.0035541309696688083
23,17435141,0.17094846689094695,-0.09059953417473575,10.098743926860019,0.002897099920970119,-0.0023497563256674047,0.27410406680761695,2.632443393254815e-05,-3.015465071682152e-05,0.0038793134585898784,0.003879519968859329
24,17436338,0.1655205438365816,-0.08836180694687458,10.098414935157814,0.003095228011942507,-0.0024555254085828135,0.28619186948500086,3.002942186284333e-05,-3.309391463089515e-05,0.004221885126363425,0.004222121622309301
25,17437535,0.16085774289047539,-0.08705388929598395,10.098509454212044,0.003287774730182406,-0.0025597289140701063,0.2982797853016927,3.396488821487167e-05,-3.6157910141037066e-05,0.004578926029369551,0.0045791947535058185
