time_micros,gyro_x,gyro_y,gyro_z,rotation_x,rotation_y,rotation_z,total_rotation
17408024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17409223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17410389,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17411577,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17412747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17413928,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17415105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17416296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17417471,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17418682,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17419844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17421028,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17422201,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17423390,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17424567,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17425756,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17426892,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17428089,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17429277,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17430464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17431623,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17432806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17433954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17435141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17436338,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17437535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17438700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17439904,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17441123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17442349,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17443515,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17444701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17445753,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17447028,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17448243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17449422,0.0,0.0,0.0003054328262806008,0.0,0.0,2.0632513995473806e-05,2.0632513995473806e-05
17450629,-0.0009162984788417053,0.000916294753551497,0.0003054328262806008,-6.33675429835477e-05,6.336728535735618e-05,4.1755028323325275e-05,9.88652656275907e-05
17451807,-0.0009162984788417053,0.000916294753551497,0.0003054328262806008,-0.00012521258493435066,0.00012521207587182643,6.237004230692846e-05,0.00018773991996227666
17453004,-0.0009162984788417053,0.000916294753551497,0.0003054328262806008,-0.00018805512756177949,0.0001880543630074978,8.331755651607361e-05,0.0002786951554516907
17454173,-0.0009162984788417053,0.000916294753551497,0.0003054328262806008,-0.0002494276691920755,0.0002494266551224517,0.00010377507039284111,0.00036769156052213794
17455351,-0.0009162984788417053,0.000916294753551497,0.0003054328262806008,-0.00031127271114287844,0.0003112714456369219,0.00012439008437644427,0.000457442353376156
17456526,-0.0009162984788417053,0.000916294753551497,0.0003054328262806008,-0.00037296025298684575,0.0003729587366848867,0.00014495259832443555,0.0005469998403460496
17457718,-0.0009162984788417053,0.000916294753551497,0.0003054328262806008,-0.00043554029543621515,0.00043553852470971564,0.00016581261247422755,0.0006378737946573049
17458902,-0.0009162984788417053,0.000916294753551497,0.0003054328262806008,-0.0004977003376006894,0.0004976983141571968,0.00018653262652905452,0.0007281508488785711
17460103,-0.0009162984788417053,0.000916294753551497,0.0003054328262806008,-0.0005607528803705658,0.000560750600581542,0.00020755014078568221,0.0008197329381186306
17461312,-0.0009162984788417053,0.000916294753551497,0.0003054328262806008,-0.0006242254234253373,0.0006242228855832351,0.00022870765513727495,0.000911931347007434
17462512,-0.0009162984788417053,0.000916294753551497,0.0003054328262806008,-0.0006872254661596018,0.000687222672185412,0.000249707669382032,0.001003447937190638
17463692,-0.0009162984788417053,0.000916294753551497,0.0003054328262806008,-0.0007491755081816285,0.0007491724623442191,0.00027035768338937643,0.0010934425441520793
17464883,-0.0009162984788417053,0.000916294753551497,0.0003054328262806008,-0.000811703050595386,0.0008116997505468796,0.0002912001975272978,0.001184278633778242
17466074,-0.0009162984788417053,0.000916294753551497,0.0003054328262806008,-0.0008742305930091436,0.00087422703874954,0.0003120427116652192,0.0012751167393369486
