time_micros,accel_x,accel_y,accel_z,velocity_x,velocity_y,velocity_z,distance_x,distance_y,distance_z,distance_total
15322722,-0.3105747997760772,0.0759980678558349,0.25525611877441357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15323934,-0.3973442316055298,0.0765964835882186,0.46350330352783153,-0.0004815812087059021,9.283493810892095e-05,0.0005617660038757318,-5.836764249515533e-07,1.1251594498801218e-07,6.808603966973869e-07,9.038301204937212e-07
15325017,-0.6785969734191895,0.2010657638311386,0.1541246795654292,-0.0012165017309188843,0.00031058916033804406,0.0007286830318450916,-1.9011477995367048e-06,4.4888400563411385e-07,1.470024120185621e-06,2.44475575878755e-06
15325997,-0.4787279963493347,0.1017296984791755,0.2564529800415034,-0.0016856551673412323,0.00041028426484763603,0.0009800069522857648,-3.5530898635311126e-06,8.509625851847971e-07,2.4304309334256704e-06,4.388117981762149e-06
15327015,-0.2668908536434173,0.0376998297870159,0.25764984130859325,-0.001957350056350231,0.0004486626915708182,0.0012422944907379127,-5.545672220895647e-06,1.30770120520389e-06,3.6950867249968656e-06,6.791040327442727e-06
15328015,-0.4386345446109772,-0.0987376496195793,0.18344730377197216,-0.002395984600961208,0.0003499250419512389,0.0014257417945098849,-7.941656821856857e-06,1.6576262471551288e-06,5.12082851950675e-06,9.59377519945078e-06
15328979,-0.3446841537952423,-0.1065169796347618,0.3079161071777339,-0.0027282601252198216,0.0002472426735833285,0.0017225729218292203,-1.0571699582568764e-05,1.8959681844894575e-06,6.781388816150119e-06,1.2702077062295235e-05
15329946,-0.3458809852600097,-0.0915567278861999,0.3587812805175776,-0.003062727037966251,0.0001587073177173732,0.002069514420089718,-1.353335662828213e-05,2.049438160722157e-06,8.782609260376875e-06,1.6263030585452075e-05
15330913,-0.2501353919506073,-0.0879662707448005,0.44255870819091747,-0.0033046079619824882,7.364393390715112e-05,0.002497468690910335,-1.6728912527519195e-05,2.120651844810372e-06,1.1197661484487168e-05,2.024206761478317e-05
15331880,-0.3602428138256073,0.0640298724174499,0.21037525177001903,-0.0036529627629518506,0.00013556082053482515,0.0027009015593719436,-2.0261327519293636e-05,2.251739158267548e-06,1.3809433292399838e-05,2.4623000831300033e-05
15333322,-0.3787935376167297,0.0143618397414684,0.24568218231201122,-0.004199183044195175,0.0001562705934420226,0.0030551752662658638,-2.6316549469023077e-05,2.4770813540109444e-06,1.8214996026355213e-05,3.2101133753032206e-05
15334497,-0.4021315276622772,-0.0813837572932243,0.3121055984497083,-0.004671687589198351,6.064467862248405e-05,0.0034218993444442712,-3.180578238633114e-05,2.5483388513923633e-06,2.2235727756077233e-05,3.889125111063607e-05
15335472,-0.4422250092029571,0.0047872802242636,0.25046867370605597,-0.005102856973171234,6.531227684114106e-05,0.0036661063013076756,-3.67810679351731e-05,2.612018321312476e-06,2.5810181399852217e-05,4.500927751093065e-05
15336443,-0.3333143591880798,-0.0251332204788923,0.35160011291504034,-0.005426505215942859,4.090791975613664e-05,0.00400751001094818,-4.2050204499853614e-05,2.6517399113956847e-06,2.97014736204829e-05,5.155025662657209e-05
15337414,-0.4655629992485046,0.0610378198325634,0.21815532684326122,-0.005878566888213157,0.0001001756428135557,0.004219338833312986,-4.775829294830859e-05,2.7490104605676473e-06,3.379845162762981e-05,5.857257836457265e-05
15338385,-0.5822529196739197,0.1244692802429199,0.33783668518066357,-0.006443934473216533,0.0002210353139294309,0.00454737825462341,-5.401535332180184e-05,2.9636357503931247e-06,3.821395591286914e-05,6.62325294538175e-05
15339355,-0.6648335456848145,0.2644972205162048,0.4126381301879878,-0.007088823012530803,0.0004775976178301496,0.004947637240905758,-6.089151164395672e-05,3.42690543968837e-06,4.301316403654772e-05,7.463010218144985e-05
15340534,-0.3763999044895172,0.024534810334444,0.36237186431884716,-0.007532598499923944,0.0005065241592144591,0.005374873668937679,-6.977244527536704e-05,4.024097423402217e-06,4.935014009222525e-05,8.555596885606157e-05
15341670,-0.1938848495483398,-0.0897615030407905,0.2815861129760737,-0.007752851689010858,0.00040455509176012106,0.005694755493278499,-7.857968479408337e-05,4.4836720076417144e-06,5.581938233258962e-05,9.649183188747856e-05
15342856,-0.1071153879165649,-0.1855071038007736,0.2750038528442378,-0.007879890539079904,0.00018454366665240357,0.006020910062751765,-8.792523497343213e-05,4.702540796291465e-06,6.296018166701321e-05,0.00010824483964890588
15343957,-0.010172969661653,-0.1555866003036499,0.26363414764404425,-0.007891090978677384,1.3242819718085029e-05,0.006311171259307857,-9.661332614095594e-05,4.717121140801077e-06,6.990878122351117e-05,0.00011934665354350099
15345091,-0.227994218468666,-0.0640298724174499,0.21635955810546825,-0.008149636422420852,-5.936705560330316e-05,0.006556522998199458,-0.00010585501384398119,4.649798899746932e-06,7.734387830346935e-05,0.0001311830023163802
15346359,-0.2453480958938598,0.0700139701366424,0.41981929779052685,-0.008460737808014266,2.941065852995941e-05,0.007088853867797847,-0.00011658322938454328,4.68709161476292e-06,8.633254500783702e-05,0.00014514450223506372
