,time_micros,accel_x,accel_y,accel_z,velocity_x,velocity_y,velocity_z,distance_x,distance_y,distance_z,distance_total
0,17408024,0.0077793300151824,-0.062833048403263,10.116719245910645,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,17409223,0.1496025025844574,-0.1023281142115593,10.087995529174805,0.00017937340059876443,-0.00012269140893965958,0.01209550663948059,2.1506870731791854e-07,-1.4710699931865183e-07,1.4502512460737227e-05,1.4504853073780322e-05
2,17410389,0.1561850160360336,-0.0927535519003868,10.098169326782228,0.0003614851292967796,-0.00023084205045551058,0.023869972074508666,6.365603680779635e-07,-4.162688301497772e-07,4.233489989961433e-05,4.2341731640918125e-05
3,17411577,0.1400279402732849,-0.0795885324478149,10.124499320983888,0.000527838322341442,-0.00032539322700351467,0.035897877267837525,1.2636322950195967e-06,-8.028359838299527e-07,8.498157809380531e-05,8.499476411819424e-05
4,17412747,0.1286581456661224,-0.1316501945257187,10.122105598449709,0.0006783683527708052,-0.00047942395459860555,0.04774074081802368,2.057323267761439e-06,-1.3637620107103212e-06,0.00014083824485089302,0.0001408598723502546
5,17413928,0.1645627468824386,-0.1184851825237274,10.113128662109377,0.0008727169568389652,-0.0006193549551591276,0.05968434576797485,3.088001993788257e-06,-2.095220212753251e-06,0.00021132545720287132,0.0002113584031120035
6,17415105,0.1543897837400436,-0.1041233390569686,10.059870719909668,0.0010544337323009966,-0.0007419081252291797,0.07152481360530853,4.32907049670653e-06,-2.9684460761479954e-06,0.0002955101628163195,0.00029555677771149166
7,17416296,0.2058530449867248,-0.1125010848045349,10.118515014648438,0.0012996047088801857,-0.0008758969172313807,0.08357596498775482,5.876899704982831e-06,-4.01163930457057e-06,0.00039504913711673546,0.0003951132140750669
8,17417471,0.1825150549411773,-0.1101074442267417,10.059271812438965,0.001514059898436069,-0.0010052731641978022,0.09539560936737061,7.655920085645213e-06,-5.192835272502987e-06,0.0005071389781233959,0.0005072233450685875
9,17418682,0.1136979013681411,-0.0706123784184455,10.12689208984375,0.0016517480569928878,-0.0010907847544625398,0.1076592756881714,9.656186982663599e-06,-6.513775610157123e-06,0.0006375143609817715,0.0006376207585059791
