x y z
0.043677 -0.033292 -0.022907
0.052840 -0.036652 -0.025351
0.030238 -0.043982 -0.026878
0.047342 -0.037568 -0.010079
0.044593 -0.040623 -0.024740
0.035430 -0.036346 -0.033598
0.029322 -0.049480 -0.007330
0.043066 -0.057116 -0.015272
0.047342 -0.048258 -0.021075
0.031460 -0.036652 -0.009774
0.035430 -0.041539 -0.013744
0.039706 -0.032070 -0.000611
0.038179 -0.050396 -0.034208
0.033598 -0.062308 -0.036346
0.039706 -0.069639 -0.022602
0.036346 -0.032070 -0.025962
0.038179 -0.028711 -0.030849
0.032987 -0.056200 -0.039095
0.036346 -0.057727 -0.010996
0.034819 -0.059254 -0.024129
0.044593 -0.032987 -0.016188
0.032987 -0.035430 -0.011301
0.034819 -0.033292 -0.010385
0.032987 -0.051618 -0.030543
0.037874 -0.051007 -0.029932
0.032987 -0.051618 -0.028405
0.037263 -0.033903 -0.022602
0.029627 -0.044899 -0.030238
0.020464 -0.040623 -0.024740
0.058032 -0.045204 -0.008858
0.051313 -0.050091 -0.023824
0.050396 -0.048258 -0.030849
0.034819 -0.047647 -0.007636
0.042150 -0.048258 -0.010690
0.039706 -0.040012 -0.008247
0.034514 -0.040012 -0.028405
0.032987 -0.040928 -0.021991
0.035736 -0.046120 -0.011606
0.042150 -0.049175 -0.034208
0.032987 -0.047647 -0.035736
0.044593 -0.046426 -0.006720
0.039401 -0.038179 -0.010079
0.039706 -0.036652 -0.021991
0.033903 -0.058643 -0.013134
0.041844 -0.049175 -0.009163
0.026267 -0.052534 -0.008247
0.045204 -0.031154 -0.031765
0.041233 -0.039095 -0.032070
0.036957 -0.039095 -0.026267
0.034819 -0.056200 -0.022907
0.034514 -0.049786 -0.032070
0.040623 -0.048564 -0.033598
0.034819 -0.048258 -0.011606
0.036957 -0.035430 -0.017410
0.032987 -0.032070 -0.022297
0.042761 -0.047647 -0.013439
0.029322 -0.046120 -0.014661
0.033598 -0.058643 -0.018937
0.042761 -0.036652 -0.018631
0.042150 -0.043982 -0.018021
0.034819 -0.037568 -0.010079
0.045509 -0.052840 -0.033292
0.045509 -0.049175 -0.029627
0.024740 -0.037263 -0.012523
0.023518 -0.033292 -0.022907
0.035736 -0.036652 -0.030849
0.034819 -0.046426 -0.003971
0.039706 -0.052534 -0.014355
0.032070 -0.050396 -0.015882
0.041539 -0.046731 -0.020769
0.051313 -0.036652 -0.017715
0.042150 -0.034208 -0.019548
0.033903 -0.048258 -0.025045
0.035736 -0.050091 -0.026878
0.047037 -0.051007 -0.022602
0.027184 -0.025351 -0.013134
0.027794 -0.034514 -0.021075
0.033903 -0.039706 -0.025351
0.039706 -0.051313 -0.025045
0.043066 -0.054367 -0.025351
0.042150 -0.040928 -0.026878
0.027794 -0.037568 -0.019242
0.041233 -0.026267 -0.015272
0.000000 -0.033292 -0.025656
0.038790 -0.046731 -0.017104
0.030238 -0.039095 -0.016188
0.029627 -0.029627 -0.013744
0.038179 -0.039706 -0.023213
0.035736 -0.041539 -0.028100
0.034819 -0.040623 -0.013744
0.038790 -0.043982 -0.020769
0.044593 -0.040012 -0.022602
0.031460 -0.043066 -0.012828
0.037263 -0.039706 -0.013439
0.037874 -0.040012 -0.019548
0.036957 -0.037568 -0.010690
0.033903 -0.044288 -0.014355
0.025351 -0.041539 -0.011912
0.038790 -0.040012 -0.028405
0.036346 -0.036652 -0.022602
0.035430 -0.040012 -0.016188
0.032376 -0.040928 -0.026573
0.032987 -0.033903 -0.033292
0.032376 -0.034208 -0.031765
0.036346 -0.037263 -0.004887
0.022907 -0.037263 -0.020159
0.002443 -0.041539 -0.021991
0.038179 -0.041844 -0.009774
0.036346 -0.043982 -0.015272
0.047037 -0.068111 -0.013744
0.036957 -0.028100 -0.025656
0.030543 -0.028100 -0.021686
0.037874 -0.041539 -0.017715
0.035736 -0.040928 -0.026878
0.039095 -0.044899 -0.031765
0.024740 -0.022297 -0.005498
0.027184 -0.039095 -0.014661
0.036346 -0.030849 -0.022602
0.030238 -0.034208 -0.016799
0.032987 -0.047647 -0.014661
0.037263 -0.043371 -0.020159
0.032070 -0.027794 -0.021991
0.016493 -0.030543 -0.025045
0.018631 -0.040928 -0.020159
0.048869 -0.032987 -0.015577
0.044593 -0.036652 -0.025962
0.044899 -0.039706 -0.024129
0.027794 -0.032376 -0.008552
0.036957 -0.033292 -0.012217
0.058948 -0.034819 -0.020769
0.019548 -0.031460 -0.017104
0.028100 -0.033292 -0.019548
0.045815 -0.000916 -0.019242
0.035430 -0.029932 -0.025351
0.035736 -0.028711 -0.030849
0.032376 -0.040012 -0.008858
0.032987 -0.040623 -0.016188
0.037263 -0.036346 -0.019242
0.040317 -0.034819 -0.013744
0.026878 -0.027184 -0.013439
0.026878 -0.023824 -0.014355
0.040623 -0.036652 -0.020159
0.033598 -0.031154 -0.023213
0.028711 -0.033903 -0.019548
0.037874 -0.037263 -0.018937
0.031460 -0.040623 -0.023824
0.033598 -0.032376 -0.025351
0.031765 -0.026267 -0.014050
0.034819 -0.034819 -0.018021
0.039401 -0.032987 -0.020464
0.013744 -0.035430 -0.014050
0.023824 -0.046426 -0.017104
0.025656 -0.040012 -0.014966
0.037874 -0.027184 -0.024740
0.031154 -0.034208 -0.032070
0.035430 -0.000611 -0.023824
0.031154 -0.035430 -0.016493
0.027794 -0.034819 -0.029322
0.032681 -0.035430 -0.014661
0.028711 -0.033903 -0.021991
0.017715 -0.033292 -0.029322
0.041233 -0.043371 -0.010690
0.036652 -0.032987 -0.016799
0.033903 -0.034208 -0.023213
0.034514 -0.045204 -0.015272
0.027184 -0.032987 -0.018326
0.033598 -0.036346 -0.019548
0.030238 -0.023824 -0.016188
0.032070 -0.023824 -0.023213
0.021380 -0.029016 -0.021075
0.039706 -0.037568 -0.016188
0.040623 -0.040012 -0.027489
0.041233 -0.048564 -0.030543
0.035430 -0.030543 -0.011912
0.032070 -0.028711 -0.021991
0.035736 -0.024740 -0.016188
0.021380 -0.031460 -0.015272
0.031460 -0.039095 -0.016188
0.034819 -0.046731 -0.017715
0.034514 -0.021380 -0.019548
0.034819 -0.019548 -0.014355
0.028711 -0.053756 -0.025351
0.018631 -0.044288 -0.028711
0.030238 -0.045204 -0.023518
0.032070 -0.024740 -0.011606
0.018021 -0.020464 -0.023518
0.007025 -0.016799 -0.019853
0.051313 -0.044899 -0.016493
0.044899 -0.035430 -0.022297
0.052229 -0.036346 -0.029627
0.020464 -0.032987 -0.010690
0.027184 -0.032376 -0.021380
0.030238 -0.032070 -0.019853
0.041233 -0.039706 -0.019548
0.039401 -0.038485 -0.017104
0.021991 -0.033292 -0.018021
0.043066 -0.031154 -0.018631
0.041233 -0.024435 -0.015577
0.032070 -0.031154 -0.016493
0.036041 -0.037263 -0.021991
0.030238 -0.041844 -0.023824
0.046426 -0.039706 -0.015272
0.037874 -0.038485 -0.016799
0.031154 -0.027794 -0.027489
0.028711 -0.039095 -0.010996
0.031460 -0.027184 -0.015272
0.039706 -0.037263 -0.026878
0.031154 -0.033903 -0.010690
0.031460 -0.046426 -0.016188
0.024740 -0.047342 -0.021075
0.041233 -0.036346 -0.019548
0.021075 -0.025656 -0.021686
0.031154 -0.029932 -0.024129
0.037874 -0.036346 -0.018631
0.036957 -0.039095 -0.028405
0.032987 -0.038179 -0.033292
0.029627 -0.037263 -0.009774
0.035736 -0.036346 -0.015272
0.025656 -0.029016 -0.018326
0.039706 -0.047647 -0.021991
0.045815 -0.044899 -0.017104
0.045509 -0.044899 -0.010385
0.032987 -0.040623 -0.033903
0.029016 -0.032987 -0.026573
0.000611 -0.036346 -0.025045
0.034514 -0.034819 -0.009774
0.033598 -0.036652 -0.025351
0.037263 -0.037263 -0.028100
0.040012 -0.040012 -0.009468
0.033598 -0.036652 -0.012217
0.032987 -0.046120 -0.017104
0.040623 -0.044899 -0.014355
0.031460 -0.040012 -0.012828
0.037874 -0.029627 -0.024435
0.038790 -0.027184 -0.026878
0.026878 -0.032987 -0.025962
0.045815 -0.037568 -0.008552
0.039706 -0.040928 -0.022602
0.042455 -0.037568 -0.029932
0.027794 -0.034819 -0.009468
0.038179 -0.028711 -0.014355
0.036346 -0.028100 -0.014355
0.030543 -0.051007 -0.024435
0.030543 -0.046120 -0.017104
0.030238 -0.045815 -0.011912
0.042150 -0.026573 -0.024129
0.044899 -0.037263 -0.031460
0.037874 -0.038485 -0.026878
0.032376 -0.047342 -0.014661
0.035430 -0.046731 -0.027489
0.040317 -0.044899 -0.032987
0.023824 -0.040012 -0.012828
0.026267 -0.036652 -0.014661
0.035430 -0.037263 -0.014661
0.028100 -0.043982 -0.020159
0.030543 -0.043066 -0.018326
0.043982 -0.042455 -0.026573
0.032376 -0.041539 -0.024435
0.029016 -0.040623 -0.021686
0.045509 -0.043371 -0.015882
0.041539 -0.039095 -0.025045
0.042150 -0.046120 -0.033903
0.043677 -0.032987 -0.004581
0.040317 -0.034208 -0.012217
0.029627 -0.035125 -0.021686
0.034514 -0.048564 -0.017104
0.036957 -0.053451 -0.023518
0.027184 -0.045815 -0.017104
0.023824 -0.045815 -0.025656
0.004276 -0.041844 -0.028405
0.008247 -0.043982 -0.018021
0.042455 -0.049175 -0.025045
0.038790 -0.053451 -0.028100
0.052534 -0.046731 -0.021686
0.052534 -0.040012 -0.009774
0.046426 -0.040928 -0.018631
0.054978 -0.040623 0.000305
0.042150 -0.042455 -0.007330
0.039095 -0.042761 -0.011912
0.049786 -0.029016 -0.017104
0.043066 -0.029932 -0.020159
0.046426 -0.037568 -0.025656
0.036957 -0.046731 -0.021991
0.022297 -0.055589 -0.036652
0.027794 -0.056200 -0.030849
0.028100 -0.043066 -0.016799
0.017104 -0.049480 -0.027489
0.006414 -0.038179 -0.022602
0.045509 -0.040928 -0.019548
0.038179 -0.048258 -0.024129
0.042455 -0.045815 -0.025351
0.041539 -0.046731 -0.016799
0.047037 -0.045815 -0.023213
0.053145 -0.047342 -0.024435
0.038790 -0.034208 -0.013744
0.027794 -0.039095 -0.020159
0.058032 -0.005192 -0.020769
0.045509 -0.042761 -0.021686
0.042150 -0.044288 -0.013744
0.028100 -0.035736 -0.016799
0.033903 -0.028100 -0.011912
0.037263 -0.032376 -0.019242
0.038179 -0.056810 -0.022602
0.033292 -0.062919 -0.034208
0.028100 -0.050091 -0.025045
0.045509 -0.033903 -0.012217
0.045509 -0.028711 -0.017715
0.032070 -0.032376 -0.031765
0.044899 -0.056200 -0.015882
0.029016 -0.041539 -0.020159
0.041233 -0.054367 -0.013744
0.037874 -0.036652 -0.032376
0.040623 -0.040012 -0.021075
0.050396 -0.040012 -0.017715
0.045509 -0.052840 -0.018326
0.042150 -0.044899 -0.026573
0.043066 -0.039095 -0.027794
0.037263 -0.036652 -0.002138
0.023824 -0.038179 -0.005498
0.041233 -0.037263 -0.009774
0.037263 -0.049175 -0.028100
0.027184 -0.048564 -0.016799
0.046731 -0.048564 -0.019242
0.041539 -0.049175 -0.029322
0.040623 -0.046731 -0.032987
0.036346 -0.034819 -0.011301
0.049786 -0.040012 -0.017104
0.050702 -0.044899 -0.028405
0.015577 -0.039095 -0.014661
0.036346 -0.037568 -0.012217
0.043982 -0.039706 -0.014355
0.028711 -0.054978 -0.024435
0.023213 -0.051007 -0.024435
0.031154 -0.043066 -0.020159
0.044593 -0.038485 -0.023213
0.041539 -0.031154 -0.029016
0.041539 -0.036346 -0.027489
0.038790 -0.040012 -0.009468
0.035736 -0.040623 -0.029016
0.032987 -0.043982 -0.028100
0.049175 -0.040012 -0.006414
0.043066 -0.045815 -0.016799
0.041233 -0.040012 -0.015882
0.034514 -0.046426 -0.018631
0.026267 -0.037568 -0.015272
0.039706 -0.036346 -0.026573
0.043982 -0.037568 -0.036346
0.036346 -0.032987 -0.037263
0.036346 -0.036652 -0.002443
0.034819 -0.043982 -0.016799
0.032987 -0.036652 -0.029322
0.040317 -0.050396 -0.006109
0.025656 -0.042455 -0.006109
0.039706 -0.047037 -0.003360
0.040317 -0.027184 -0.029932
0.032070 -0.029016 -0.019242
0.034819 -0.035736 -0.006414
0.041233 -0.048258 -0.032070
0.034514 -0.038179 -0.027794
0.032070 -0.053451 -0.031154
0.048869 -0.032376 -0.014966
0.047953 -0.028711 -0.025962
0.044899 -0.031154 -0.031765
0.028100 -0.039706 -0.005192
0.030543 -0.039706 -0.007636
0.011301 -0.047647 -0.016188
0.042150 -0.027794 -0.020464
0.033903 -0.028711 -0.018021
0.041539 -0.042455 -0.005803
0.043982 -0.049175 -0.033292
0.032070 -0.052534 -0.032070
0.029322 -0.018021 -0.005192
0.035125 -0.024435 -0.011606
0.036346 -0.026267 -0.017104
0.031154 -0.043982 -0.012523
0.039706 -0.042761 -0.012217
0.044899 -0.048258 -0.013744
0.018021 -0.022907 -0.022602
0.029627 -0.018631 -0.023518
0.030543 -0.028711 -0.017104
0.032376 -0.045815 -0.024435
0.022297 -0.047647 -0.037568
0.025656 -0.047647 -0.038179
0.034514 -0.014355 -0.004581
0.031154 -0.019548 -0.020159
0.035736 -0.020159 -0.022602
0.035430 -0.053451 -0.016799
0.038179 -0.040012 -0.007025
0.058032 -0.052534 -0.004887
0.021075 -0.028100 -0.023213
0.019548 -0.030543 -0.015577
0.045509 -0.003971 -0.006414
0.029627 -0.043371 -0.036346
0.027794 -0.036346 -0.041233
0.029932 -0.023824 -0.000611
0.035430 -0.035430 -0.019242
0.030543 -0.028711 -0.027489
0.033903 -0.047037 -0.007025
0.028100 -0.046120 -0.011912
0.018631 -0.037568 -0.011301
0.054062 -0.014661 -0.016799
0.054672 -0.024740 -0.020769
0.047953 -0.018021 -0.010996
0.022907 -0.044288 -0.032987
0.031460 -0.049175 -0.036346
0.041539 -0.047342 -0.024129
0.024435 -0.022297 -0.015577
0.014355 -0.023824 -0.028405
0.015882 -0.029932 -0.032987
0.044593 -0.037568 -0.007941
0.032070 -0.032070 -0.013744
0.032376 -0.032376 -0.025045
0.041233 -0.034208 -0.004887
0.039706 -0.031460 -0.003971
0.030238 -0.000611 -0.003665
0.031154 -0.044899 -0.030543
0.029627 -0.046731 -0.019548
0.034819 -0.017715 -0.016799
0.035736 -0.027794 -0.035736
