frame robot_id x y phi px py
650 16 298.478 -175.118 1.5708 2444.11 1332.4
651 16 298.414 -173.337 1.5708 2444.07 1329.15
652 16 299.71 -171.483 1.48406 2446.37 1325.72
653 16 300.749 -169.61 1.5708 2448.24 1322.26
654 16 300.908 -167.811 1.5708 2448.59 1318.97
655 16 300.301 -165.751 1.5708 2447.62 1315.23
656 16 298.491 -163.96 1.5708 2444.57 1312.03
657 16 298.162 -161.828 1.5708 2444.08 1308.15
658 16 297.775 -160.09 1.5708 2443.49 1304.99
659 16 299.292 -158.304 1.48406 2446.17 1301.67
660 16 300.509 -156.417 1.5708 2448.35 1298.18
661 16 300.047 -154.476 1.5708 2447.63 1294.65
662 16 300.477 -152.48 1.5708 2448.45 1290.99
663 16 298.715 -150.566 1.5708 2445.48 1287.56
664 16 298.788 -148.44 1.5708 2445.69 1283.67
665 16 297.739 -146.671 1.5708 2443.95 1280.47
666 16 297.641 -144.478 1.5708 2443.87 1276.47
667 16 298.735 -142.845 1.5153 2445.82 1273.45
668 16 300.082 -141.108 1.5708 2448.21 1270.22
669 16 299.607 -139.137 1.5708 2447.47 1266.64
670 16 299.459 -137.271 1.5708 2447.29 1263.23
671 16 298.692 -135.252 1.5708 2446.05 1259.57
672 16 298.084 -133.417 1.5708 2445.07 1256.23
673 16 298.498 -131.273 1.5708 2445.87 1252.3
674 16 299.264 -129.83 1.5708 2447.25 1249.63
675 16 300.301 -127.986 1.5708 2449.11 1246.22
676 16 299.799 -125.912 1.5708 2448.33 1242.45
677 16 299.112 -124.377 1.5708 2447.2 1239.66
678 16 298.678 -122.332 1.5708 2446.53 1235.94
679 16 298.256 -120.616 1.5708 2445.87 1232.81
680 16 299.639 -118.892 1.5708 2448.33 1229.61
681 16 300.797 -117.036 1.5708 2450.4 1226.17
682 16 300.601 -115.281 1.5708 2450.13 1222.97
683 16 300.65 -113.184 1.5708 2450.3 1219.13
684 16 299.364 -111.176 1.5708 2448.16 1215.5
685 16 298.47 -109.144 1.5708 2446.69 1211.81
686 16 297.711 -107.389 1.5708 2445.45 1208.63
687 16 297.602 -105.216 1.49949 2445.35 1204.65
688 16 299.65 -103.724 1.50194 2448.95 1201.85
689 16 300.679 -101.853 1.5708 2450.8 1198.39
690 16 300.44 -100.008 1.5708 2450.46 1195.02
691 16 299.378 -98.061 1.5708 2448.7 1191.49
692 16 298.467 -95.9655 1.5708 2447.21 1187.68
693 16 297.669 -94.0446 1.5708 2445.91 1184.19
694 16 297.961 -91.7837 1.5708 2446.5 1180.04
695 16 297.146 -90.0043 1.5708 2445.16 1176.81
696 16 299.672 -88.3744 1.5708 2449.59 1173.73
697 16 300.095 -86.4401 1.5708 2450.4 1170.17
698 16 299.38 -84.5643 1.5708 2449.24 1166.76
699 16 299.01 -82.7159 1.5708 2448.67 1163.39
700 16 298.05 -80.7995 1.5708 2447.09 1159.91
701 16 298.032 -78.6098 1.5708 2447.14 1155.89
702 16 297.415 -76.8767 1.5708 2446.15 1152.74
703 16 299.172 -75.2157 1.5708 2449.25 1149.63
704 16 300.403 -73.3402 1.5708 2451.45 1146.15
705 16 299.242 -71.3335 1.5708 2449.52 1142.51
706 16 299.213 -69.6638 1.5708 2449.54 1139.45
707 16 298.606 -67.7852 1.5708 2448.56 1136.03
708 16 298.429 -65.7886 1.5708 2448.34 1132.37
709 16 298.419 -64.1061 1.48014 2448.39 1129.28
710 16 300.755 -62.4291 1.5708 2452.49 1126.13
711 16 300.799 -60.6883 1.5708 2452.64 1122.93
712 16 299.815 -58.7619 1.5708 2451.01 1119.43
713 16 299.101 -56.65 1.5708 2449.86 1115.58
714 16 298.302 -54.7994 1.5708 2448.55 1112.21
715 16 298.154 -52.9956 1.5708 2448.37 1108.91
716 16 298.354 -50.8262 1.5708 2448.8 1104.92
