frame,start_stopp,avg_angle_last_20,avg_angle_next_20,angle_diff_prev
733,1,1.559141142864176,1.6230384676397833,
812,0,2.701154016209495,3.0190907725442018,1.0781155485697118
937,1,3.0640365433546317,3.1657063930459075,0.04494577081042994
1015,0,4.22806989128555,4.510374323002003,1.0623634982396428
1140,1,4.537270318497828,4.653537373086174,0.026895995495824998
1219,0,5.722612877139376,6.011077162024109,1.0690755040532016
1343,1,6.005196417693063,6.135566350976778,-0.005880744331046017
1421,0,0.9093079450524736,1.184554652742232,1.0569269012552818
1546,1,1.2209629109421518,1.3382587693013839,0.036408258199919885
1625,0,2.4179326569433095,2.7490377269722965,1.0796738876419258
1749,1,2.8107644925627713,2.9287833664288847,0.06172676559047474
1828,0,4.013168158513537,4.320603526286332,1.084384792084652
1953,1,4.3946722168796475,4.5201970117320105,0.07406869059331544
2031,0,5.596773610760139,5.914056579495254,1.0765765990281286
2156,1,5.983135610789112,6.034808362390348,0.06907903129385762
2235,0,0.8137152663902348,1.1428518756788881,1.0620922111794728
2360,1,1.1996547679360021,1.3442676287548152,0.05680289225711377
2438,0,2.4305243103001137,2.728059092527336,1.086256681545299
2563,1,2.792232983549547,2.8522641485958613,0.06417389102221094
2642,0,3.9369891597485003,4.294090175393309,1.0847250111526385
2767,1,4.360983843484616,4.490559233788644,0.06689366809130703
2845,0,5.583741547936035,5.911960354669736,1.0931823141473913
2970,1,5.991468215883539,6.103383587704211,0.07950786121380293
3049,0,0.9190643821010861,1.211890490160328,1.098866101576462
3173,1,1.270607072724838,1.3995355324117444,0.058716582564509956
3252,0,2.478484618811892,2.778661590277226,1.0789490864001472
3377,1,2.8474941132212086,2.967421323812654,0.06883252294398279
3455,0,4.070781439571249,4.405042256356816,1.103360115758595
3581,1,4.48283738146562,4.594711429349323,0.07779512510880426
3659,0,5.699335653412074,6.0021652505508225,1.1046242240627508
3784,1,6.028446324274773,6.171049713385967,0.0262810737239505
3862,0,0.9720006090202912,1.2557718541532104,1.0841362028139105
3987,1,1.2938809344392714,1.4124138650450362,0.03810908028606086
4066,0,2.497703861260577,2.794491274708462,1.0852899962155407
4191,1,2.8949065351108687,3.0030708770553787,0.10041526040240667
4269,0,4.079792934620542,4.378607251865127,1.0767220575651635
4394,1,4.4382930892028645,4.558697596765835,0.0596858373377378
4473,0,5.651390079450934,5.926945791694573,1.0926924826850986
4598,1,5.952995802622454,6.07555724309647,0.026050010927881395
4676,0,0.8570122270348473,1.1473148176748023,1.0646402911179633
4801,1,1.1668769292292724,1.2758625068038185,0.019562111554470185
# hier fehlt eine zeile
5008,1,2.739237356243042,2.904600322818191,1.463374849439223
5083,0,3.9576021846182448,4.25150687179252,1.0530018618000536
5208,1,4.279484855498202,4.399538944703126,0.027977983705682163
5287,0,5.583118873767246,5.860697150380884,1.1835799290641198
5412,1,5.854873976632317,5.975027021177648,-0.005823173748567001
5490,0,0.7848772697584925,1.0811499555875077,1.093035555760431
5615,1,1.1037175884119914,1.1514461724818454,0.02256763282448393
5693,0,2.1883320507304136,2.4834473338862817,1.036885878248568
5819,1,2.5404484743953155,2.656433620480095,0.05700114050903382
5897,0,3.719427239055013,4.049778765103762,1.062993618574918
6022,1,4.103197026074779,4.20175593368336,0.05341826097101787
6100,0,5.280790421652663,5.568103363821408,1.0790344879693023
6225,1,5.497787307179586,5.609902585238876,-0.07031605664182194
6304,0,0.4389756809179505,0.7237603549861656,1.1122584028586608
6429,1,0.680506760835755,0.8000676603588796,-0.043253594150410635
6507,0,1.843434626026823,2.1883808603390915,1.0433669656679436
6632,1,2.1662393300583025,2.2758480070124234,-0.022141530280789024
6711,0,3.3547727635000366,3.690130737071255,1.0789247564876128
6836,1,3.7277203384410305,3.837566941955896,0.037589601369775405
6914,0,4.897945138686339,5.239101098912241,1.0603781967304426
7039,1,5.2459742553009265,5.347514388552336,0.006873156388685686
7118,0,0.1517322370104334,0.423843137522926,1.0874031556376833
7243,1,0.40830099514905727,0.5061167098740438,-0.01554214237386864
7321,0,1.5805462480962273,1.9029912947162386,1.0744295382221836
7446,1,1.9171391976942065,2.0238755562235413,0.014147902977967863
7525,0,3.1038572138725624,3.410763459435215,1.0799816576490215
7650,1,3.395926824334658,3.508306210224749,-0.014836635100556883
7728,0,4.593100577516639,4.890977343882519,1.0847943672918898
7853,1,4.822808071953407,4.928251266827094,-0.06816927192911226
7931,0,5.982405406223125,6.280962165836489,1.0541541393960312
8057,1,6.210618985683169,0.017184896069569276,-0.07034318015332008
