frame robot_id x y phi px py
639 16 280.5 -179.205 1.67046 2413.05 1340.43
640 16 279.979 -177.331 1.63736 2412.23 1337.02
641 255 277.166 -175.99 1.5708 2407.42 1334.68
642 255 277.718 -174.144 1.5708 2408.45 1331.29
643 255 279.515 -172.302 1.5708 2411.62 1327.86
644 255 280.216 -170.625 1.5708 2412.89 1324.77
645 16 279.897 -168.493 1.63522 2412.42 1320.89
646 16 276.836 -166.935 1.62203 2407.2 1318.16
647 255 276.109 -165.066 1.5708 2406.02 1314.77
648 16 277.309 -163.255 1.5708 2408.16 1311.42
649 16 277.773 -161.198 1.5708 2409.04 1307.64
650 255 278.335 -159.244 1.5708 2410.09 1304.05
651 16 278.556 -157.555 1.5708 2410.53 1300.96
652 16 278.433 -155.364 1.63522 2410.41 1296.96
653 16 275.481 -153.569 1.62788 2405.38 1293.79
654 16 275.629 -151.554 1.63965 2405.71 1290.1
655 16 274.298 -149.56 1.5708 2403.49 1286.5
656 16 273.625 -147.643 1.62203 2402.4 1283.02
657 16 274.441 -145.667 1.5708 2403.89 1279.38
658 255 275.194 -143.765 1.5708 2405.26 1275.88
659 16 275.326 -141.623 1.5708 2405.57 1271.96
660 16 275.881 -139.868 1.5708 2406.6 1268.73
661 16 274.5 -137.762 1.6421 2404.29 1264.92
662 16 273.835 -135.844 1.65063 2403.22 1261.44
663 16 273.362 -133.596 1.65753 2402.49 1257.34
664 16 271.542 -131.942 1.5708 2399.41 1254.38
665 16 271.552 -130.15 1.5708 2399.49 1251.1
666 255 271.65 -128.135 1.5708 2399.74 1247.41
667 16 273.656 -126.378 1.5708 2403.28 1244.13
668 16 273.816 -124.391 1.63322 2403.63 1240.49
669 16 272.001 -122.858 1.64474 2400.55 1237.75
670 16 270.742 -121.126 1.63736 2398.44 1234.62
671 16 271.283 -119.416 1.5708 2399.44 1231.47
672 255 273.061 -117.64 1.5708 2402.58 1228.16
673 16 272.933 -115.783 1.63133 2402.43 1224.76
674 16 270.78 -114.247 1.63522 2398.77 1222.03
675 16 269.725 -112.569 1.63522 2397.01 1218.99
676 16 270.884 -110.677 1.5708 2399.09 1215.49
677 255 272.086 -108.769 1.5708 2401.24 1211.95
678 255 272.309 -106.722 1.5708 2401.7 1208.19
679 16 270.843 -105.181 1.63322 2399.23 1205.42
680 16 270.123 -103.203 1.64474 2398.06 1201.82
681 16 268.467 -101.562 1.5708 2395.26 1198.88
682 16 268.93 -99.5763 1.5708 2396.14 1195.22
683 255 269.636 -97.6156 1.5708 2397.43 1191.6
684 16 270.542 -95.7076 1.5708 2399.07 1188.08
685 16 270.217 -93.5206 1.5708 2398.6 1184.08
686 16 270.469 -91.718 1.5708 2399.1 1180.77
687 16 268.874 -89.5751 1.6421 2396.43 1176.89
688 16 268.088 -87.7943 1.65063 2395.14 1173.66
689 16 267.297 -85.6967 1.65394 2393.85 1169.84
690 16 265.534 -83.9747 1.5708 2390.86 1166.74
691 255 265.759 -82.0932 1.5708 2391.33 1163.28
692 16 265.698 -79.9563 1.5708 2391.3 1159.37
693 255 266.672 -78.0053 1.5708 2393.06 1155.76
694 16 266.843 -75.8614 1.5708 2393.44 1151.82
695 16 267.268 -73.9668 1.5708 2394.25 1148.33
696 16 266.525 -71.898 1.6421 2393.04 1144.56
697 16 265.344 -70.2041 1.64757 2391.06 1141.49
698 255 263.329 -68.6447 1.5708 2387.64 1138.7
699 255 263.087 -66.6328 1.5708 2387.29 1135.02
700 255 265.15 -64.8793 1.5708 2390.93 1131.73
